Name,Background,Clothing,Expression,Eyes,Eyewear,Head,Mouth,Neck,Nose,Skin,Type,Price
Visitor84,Orange,Alien,Confident,Navy,Aviators,Do Rag,Pipe,,Silver Nose Stud,Green,Not for sale,
Visitor85,Green,Bulletproof Vest,Confident,Lime,Steampunk,,Rose,Neck Pillow,Gold Lip Ring,Blue,Not for sale,
Visitor86,Green,Red T-shirt,Angry,White,Aviators,Top Hat,Gagged,Silver Necklace,,Trippy,Not for sale,
Visitor87,Green,Red Leather Vest,Confident,Stoned,,,,Silver Necklace,,Red,Not for sale,
Visitor88,Yellow,Red T-shirt,Angry,Silver,Laser Eyes Blue,Police Helmet,Pipe,Silver Necklace,,Green,Not for sale,
Visitor89,Yellow,Hawaiian,Surprised,Rainbow,Holographic,Police,,Silver Necklace,Silver Nose Stud,Cyborg,Not for sale,
Visitor90,Green,Mariniere,Confident,Lime,Holographic,Ushanka,Knife,Silver Necklace,Gold Nose Stud,Red,Not for sale,
Visitor91,Green,Leather Jacket,Confident,Navy,Aviators,,,,Silver Brow Stud,Blue,Buy,0.1999 
Visitor92,Green,,Surprised,Lime,Doc Glasses,Chef's Hat,ToothPick,Pearl Necklace,Silver Nose Stud,Red,Buy,0.1799 
Visitor93,Blue,Hoodie Down,Confident,Navy,Thug Life,Bolero,,,Silver Brow Stud,Green,Not for sale,
Visitor94,Pink,Mariniere,Delusional,White,,,ToothPick,,Silver Brow Stud,War Paint,Not for sale,
Visitor95,Space,Varsity,Tired,Navy,Blindfold,Barbarian,ToothPick,,Silver Lip Ring,Trippy,Not for sale,
Visitor96,Yellow,Varsity,Confident,Navy,Aviators,Devo,ToothPick,,,Blue,Buy,0.1799 
Visitor97,Blue,,Surprised,Visitor,Round Glasses,Headphones,Bubble Gum,,Gold Septum Piercing,Red,Not for sale,
Visitor98,Orange,,Confident,Navy,Heart Glasses,Chef's Hat,Pipe,Gold Necklace,Silver Brow Stud,Trippy,Not for sale,
Visitor99,Pink,Bath Robe,Confident,Lime,3D Glasses,Balaclava,,,,Red,Not for sale,
Visitor100,Purple,Leather Jacket,Surprised,Lime,Steampunk,Backwards Cap,Rose,,Clown,Green,Not for sale,
Visitor101,Purple,Mariniere,Confident,Lime,Aviators,Beanie,Face Mask,Pearl Necklace,,Silver,Not for sale,
Visitor102,Blue,,Tired,Lime,Eyepatch,Do Rag,,Frill,Silver Brow Stud,War Paint,Buy,0.25 
Visitor103,Purple,Imperial,Delusional,Visitor,Aviators,Halo,Bandit Mask,,,Blue,Not for sale,
Visitor104,Space,Plasma Cannon,Surprised,Navy,Aviators,Chef's Hat,ToothPick,,Gold Nose Stud,Green,Not for sale,
Visitor105,Purple,Leather Jacket,Delusional,Lime,Aviators,Devo,,,Gold Brow Stud,Red,Not for sale,
Visitor106,Green,,Confident,Navy,Aviators,Antennae,ToothPick,Pearl Necklace,Gold Brow Stud,War Paint,Not for sale,
Visitor107,Pink,,Tired,Visitor,,Top Hat,Bubble Gum,Frill,,Red,Buy,15.51 
Visitor108,Purple,Red T-shirt,Tired,Stoned,Round Glasses,Headphones,Face Mask,Gold Necklace,Silver Brow Stud,Green,Not for sale,
Visitor109,Blue,Leather Jacket,Surprised,Visitor,Round Glasses,Backwards Cap,,,Gold Lip Ring,Tats,Not for sale,
Visitor110,Green,,Delusional,Golden,Monocle,Ethereum,Pipe,Frill,Silver Lip Ring,Cyborg,Buy,555 
Visitor111,Blue,Yellow Jersey,Surprised,Navy,,Floppy Hat,Pipe,,Silver Nose Stud,War Paint,Not for sale,
Visitor112,Green,Yellow Jersey,Surprised,Visitor,Aviators,Chef's Hat,ToothPick,Frill,Silver Brow Stud,Cyberpunk,Not for sale,
Visitor113,Pink,Yellow Jersey,Surprised,Navy,Ray Bans,Bolero,ToothPick,,Silver Brow Stud,Red,Not for sale,
Visitor114,Orange,Hoodie With Jacket,Confident,White,,Viking,,,,Green,Buy,3.51 
Visitor115,Green,,Delusional,Visitor,,Ethereum,,Gold Necklace,,Red,Not for sale,
Visitor116,Red,Suit,Tired,Silver,,Skullcap,Pipe,,Silver Brow Stud,Green,Not for sale,
Visitor117,Green,Hawaiian,Delusional,Visitor,Gas Mask,Bolero,,Lei,,Red,Not for sale,
Visitor118,Orange,Hoodie Down,Tired,Navy,,Flak Helmet,,,Silver Septum Piercing,Green,Not for sale,
Visitor119,Purple,,Angry,Lime,Ray Bans,Coolie Hat,Buck Teeth,Gold Necklace,Silver Nose Stud,Gold,Buy,0.999 
Visitor120,Pink,Imperial,Delusional,Navy,Holographic,Skullcap,Rose,,,Trippy,Not for sale,
Visitor121,Blue,Black Tank Top,Confident,Navy,Monocle,Police Helmet,,Silver Necklace,Silver Nose Stud,Cyberpunk,Buy,1 
Visitor122,Green,,Confident,Navy,3D Glasses,,,,Gold Lip Ring,Green,Buy,10 
Visitor123,Purple,Hoodie Down,Confident,Visitor,,Do Rag,Pipe,,Silver Lip Ring,Blue,Not for sale,
Visitor124,Green,Plasma Cannon,Surprised,Visitor,,Barbarian,Bubble Gum,,Piggy,Cyborg,Not for sale,
Visitor125,Pink,Bath Robe,Angry,Navy,Ray Bans,Barbarian,ToothPick,,,Blue,Buy,0.25 
Visitor126,Green,,Surprised,Silver,Monocle,,,,Silver Brow Stud,Trippy,Not for sale,
Visitor127,Green,Hoodie With Jacket,Confident,Lime,Aviators,,ToothPick,,Silver Nose Stud,Green,Not for sale,
Visitor128,Blue,,Tired,Navy,,Ethereum,Bandit Mask,Lei,Silver Brow Stud,Blue,Not for sale,
Visitor129,Space,,Confident,Navy,Blindfold,Flak Helmet,,Lei,,Green,Not for sale,
Visitor130,Red,Varsity,Confident,Navy,Doc Glasses,Do Rag,Rose,,Silver Nose Stud,Trippy,Not for sale,
Visitor131,Orange,Alien,Delusional,Visitor,,Backwards Cap,Gagged,,,Green,Not for sale,
Visitor132,Purple,Alien,Confident,Lime,Heart Glasses,Beanie,Pipe,,Silver Nose Stud,Green,Buy,3.5 
Visitor133,Red,Imperial,Confident,Visitor,Heart Glasses,Skullcap,Gagged,,,Blue,Not for sale,
Visitor134,Purple,Red T-shirt,Delusional,Navy,Doc Glasses,Ushanka,Knife,Silver Necklace,Gold Brow Stud,Green,Not for sale,
Visitor135,Blue,Red Leather Vest,Tired,Visitor,Monocle,Viking,Rose,,,Blue,Not for sale,
Visitor136,Purple,Black T-shirt,Confident,Visitor,,Peacemaker,,,Piggy,Gold,Not for sale,
Visitor137,Orange,Imperial,Surprised,Lime,,,Bubble Gum,,,Cyberpunk,Buy,0.15 
Visitor138,Green,Suit,Surprised,Navy,Round Glasses,Floppy Hat,Face Mask,,Silver Brow Stud,Green,Buy,0.15 
Visitor139,Green,Red T-shirt,Tired,White,,Spartan,Bubble Gum,Silver Necklace,,Silver,Buy,1 
Visitor140,Green,Hoodie With Jacket,Confident,Visitor,Monocle,,Rose,,,Blue,Buy,0.15 
Visitor141,Purple,Bulletproof Vest,Confident,Twirl,,Halo,,Spiked Collar,Silver Nose Stud,Tats,Not for sale,
Visitor142,Green,Bulletproof Vest,Surprised,White,Aviators,Bucket Hat,Pipe,,Silver Lip Ring,Silver,Not for sale,
Visitor143,Green,Red Jersey,Surprised,Lime,3D Glasses,,,Gold Necklace,Silver Lip Ring,Poison,Not for sale,
Visitor144,Green,Imperial,Surprised,Navy,Round Glasses,Halo,Pipe,,Silver Lip Ring,Green,Buy,1 
Visitor145,Blue,Suit,Confident,Visitor,Eyepatch,Crown,,,,Blue,Not for sale,
Visitor146,Orange,Green Jersey,Tired,Visitor,,,Bubble Gum,Pearl Necklace,Silver Brow Stud,Blue,Not for sale,
Visitor147,Pink,Red Leather Vest,Tired,Silver,,Headphones,,,Silver Lip Ring,Blue,Buy,0.15 
Visitor148,Green,Black T-shirt,Tired,Navy,Blindfold,Horns,Bandit Mask,,,Tats,Not for sale,
Visitor149,Yellow,Black Tank Top,Surprised,Stoned,,Chef's Hat,Pipe,Silver Necklace,Clown,Green,Buy,0.12 
Visitor150,Blue,Black Tank Top,Surprised,Navy,Scanner,Chef's Hat,Gagged,Gold Necklace,,Blue,Not for sale,
Visitor151,Purple,Black Tank Top,Delusional,Visitor,Aviators,Floppy Hat,Gagged,Silver Necklace,Gold Brow Stud,Blue,Buy,0.14 
Visitor152,Pink,,Surprised,White,,Flak Helmet,Bandit Mask,Lei,,Green,Not for sale,
Visitor153,Purple,,Confident,Golden,,,ToothPick,,Gold Lip Ring,Cyborg,Buy,2.5 
Visitor154,Yellow,Red Leather Vest,Surprised,Visitor,,,Fangs,Gold Necklace,,Blue,Buy,0.13 
Visitor155,Green,Bath Robe,Confident,White,Eyepatch,Floppy Hat,,Neck Pillow,,Blue,Not for sale,
Visitor156,Green,Black Tank Top,Confident,White,Round Glasses,Bolero,Respirator,Ethereum Necklace,,Cyborg,Not for sale,
Visitor157,Pink,,Tired,Navy,Eyepatch,Barbarian,,,Silver Septum Piercing,Blue,Buy,0.22 
Visitor158,Green,Hoodie With Jacket,Confident,Lime,,Bolero,Gagged,,,Cyberpunk,Not for sale,
Visitor159,Green,Hoodie Down,Tired,Navy,Round Glasses,Floppy Hat,,,Silver Septum Piercing,War Paint,Not for sale,
Visitor160,Pink,Black Tank Top,Surprised,Lime,,Ethereum,Bubble Gum,,,Joker,Not for sale,
Visitor161,Red,Leather Jacket,Tired,Visitor,,Viking,Fangs,,Silver Nose Stud,Blue,Not for sale,
Visitor162,Pink,Hoodie With Jacket,Confident,Lime,,,Bubble Gum,,Silver Septum Piercing,Green,Buy,3 
Visitor163,Pink,Imperial,Tired,Stoned,,Beanie,,,,Green,Not for sale,
Visitor164,Yellow,Hoodie With Jacket,Confident,Twirl,Heart Glasses,,,,Silver Septum Piercing,Red,Not for sale,
Visitor165,Green,Bulletproof Vest,Confident,Stoned,Monocle,Halo,Fangs,,Silver Brow Stud,Red,Not for sale,
Visitor166,Purple,Bulletproof Vest,Tired,White,,Headphones,Rose,Gold Necklace,,War Paint,Not for sale,
Visitor167,Blue,Bulletproof Vest,Tired,Twirl,,Skullcap,ToothPick,,Silver Brow Stud,Translucent,Buy,10 
Visitor168,Orange,Black T-shirt,Confident,Lime,Heart Glasses,,Pipe,Silver Necklace,Silver Brow Stud,Cyborg,Buy,0.8 
Visitor169,Orange,Varsity,Tired,Stoned,Eyepatch,Barbarian,,,Silver Lip Ring,Trippy,Buy,1.1 
Visitor170,Purple,Bulletproof Vest,Surprised,Stoned,Monocle,Police,Fangs,Pearl Necklace,,Red,Buy,1.5 
Visitor171,Blue,Bulletproof Vest,Surprised,Lime,3D Glasses,Viking,Fangs,Silver Necklace,,Gold,Buy,2 
Visitor172,Pink,Hawaiian,Confident,Navy,Targeting Eyepiece,Ethereum,Buck Teeth,,,Green,Buy,5 
Visitor173,Purple,Hoodie Down,Surprised,Navy,Thug Life,Flak Helmet,,,,Tats,Not for sale,
Visitor174,Red,Alien,Confident,Stoned,Heart Glasses,Balaclava,,,,Joker,Not for sale,
Visitor175,Purple,Black T-shirt,Confident,White,,Mortarboard,Bubble Gum,,,Cyberpunk,Buy,0.88 
Visitor176,Purple,Red T-shirt,Confident,Lime,Thug Life,Devo,ToothPick,Gold Necklace,Silver Lip Ring,Gold,Not for sale,
Visitor177,Blue,,Confident,Lime,Steampunk,Barbarian,,Neck Pillow,,Green,Not for sale,
Visitor178,Orange,Leather Jacket,Confident,Lime,Monocle,Police Helmet,Fangs,,Silver Lip Ring,Blue,Not for sale,
Visitor179,Purple,,Confident,Stoned,Monocle,Top Hat,Bubble Gum,,Piggy,Green,Not for sale,
Visitor180,Blue,Hoodie Down,Confident,Navy,Skelly,Bolero,Fangs,,,Trippy,Not for sale,
Visitor181,Red,,Tired,Visitor,,Devo,Knife,Silver Necklace,,Blue,Not for sale,
Visitor182,Pink,,Delusional,Navy,VR,Devo,,Silver Necklace,Silver Brow Stud,Red,Not for sale,
Visitor183,Green,,Tired,Stoned,,Barbarian,,Lei,Silver Nose Stud,Tats,Not for sale,
Visitor184,Yellow,,Surprised,Visitor,Round Glasses,Headphones,Bubble Gum,Gold Necklace,Gold Nose Stud,Blue,Not for sale,
Visitor185,Green,Black Tank Top,Tired,White,,,Gagged,Silver Necklace,Silver Brow Stud,Tats,Not for sale,
Visitor186,Yellow,Hoodie Down,Delusional,Lime,Holographic,,ToothPick,,,Poison,Not for sale,
Visitor187,Orange,Hawaiian,Tired,Silver,,,Rose,,Silver Septum Piercing,Green,Not for sale,
Visitor188,Blue,Black Tank Top,Confident,Golden,,Top Hat,,,Silver Brow Stud,Blue,Buy,2.51 
Visitor189,Purple,Tie Dye,Tired,White,,Headphones,Pipe,Frill,Silver Brow Stud,Cyborg,Buy,0.24 
Visitor190,Yellow,,Confident,Lime,Laser Eyes Blue,,ToothPick,Neck Pillow,Silver Lip Ring,Red,Not for sale,
Visitor191,Pink,Black Tank Top,Tired,Lime,,Barbarian,Knife,Pearl Necklace,Silver Nose Stud,Translucent,Buy,2.5 
Visitor192,Green,Black T-shirt,Surprised,Visitor,,Flak Helmet,Pipe,Silver Necklace,Silver Nose Stud,Translucent,Not for sale,
Visitor193,Green,,Tired,Navy,Aviators,Backwards Cap,ToothPick,Gold Necklace,Silver Lip Ring,Red,Not for sale,
Visitor194,Space,Black T-shirt,Surprised,Visitor,,Top Hat,Bubble Gum,Pearl Necklace,Gold Nose Stud,Red,Buy,1 
Visitor195,Orange,Leather Jacket,Surprised,Visitor,Heart Glasses,Do Rag,ToothPick,,Silver Nose Stud,Trippy,Buy,0.12 
Visitor196,Blue,Hoodie With Jacket,Tired,Twirl,,,ToothPick,,Silver Nose Stud,Green,Buy,0.222 
Visitor197,Pink,Yellow Jersey,Tired,Navy,Blindfold,,ToothPick,,Silver Lip Ring,Trippy,Buy,0.25 
Visitor198,Yellow,Hoodie Down,Tired,Visitor,,Spartan,,,Clown,Cyborg,Not for sale,
Visitor199,Pink,Bath Robe,Surprised,Lime,,Headphones,,,Clown,Silver,Not for sale,
Visitor200,Blue,Tie Dye,Surprised,Navy,Holographic,Barbarian,Knife,Pearl Necklace,,Trippy,Not for sale,
Visitor201,Purple,Mariniere,Tired,Twirl,,Chef's Hat,,Frill,,Cyberpunk,Not for sale,
Visitor202,Orange,,Confident,White,,Punk Spikes,,Ethereum Necklace,,Blue,Not for sale,
Visitor203,Red,Alien,Angry,Navy,Thug Life,Barbarian,Gagged,,,Red,Not for sale,
Visitor204,Green,Suit,Confident,Twirl,Aviators,Beanie,Fangs,Spiked Collar,Silver Brow Stud,Glowing Tats,Not for sale,
Visitor205,Green,Mariniere,Surprised,Visitor,,Peacemaker,,Gold Necklace,,Cyberpunk,Buy,4 
Visitor206,Blue,Red T-shirt,Confident,Navy,Steampunk,Do Rag,Gagged,Neck Pillow,Silver Brow Stud,Blue,Not for sale,
Visitor207,Red,Leather Jacket,Confident,Navy,Eyepatch,,,,Silver Nose Stud,Cyberpunk,Not for sale,
Visitor208,Red,Hoodie Down,Surprised,Lime,Ray Bans,Barbarian,Pipe,,Silver Septum Piercing,Green,Buy,0.199 
Visitor209,Pink,,Confident,Navy,3D Glasses,Viking,,Gold Necklace,,Blue,Not for sale,
Visitor210,Blue,,Surprised,Golden,,Halo,Bandit Mask,,,Cyborg,Not for sale,
Visitor211,Blue,Varsity,Angry,Rainbow,Round Glasses,Bubble,Face Mask,,Gold Brow Stud,Blue,Not for sale,
Visitor212,Purple,Hoodie Up,Surprised,Golden,Laser Eyes Yellow,,,,,Red,Not for sale,
Visitor213,Blue,Bath Robe,Surprised,Silver,,Halo,Pipe,,,Gold,Buy,2 
Visitor214,Blue,Bulletproof Vest,Angry,Navy,,Do Rag,ToothPick,Pearl Necklace,,Trippy,Not for sale,
Visitor215,Yellow,Red T-shirt,Confident,Lime,Monocle,Backwards Cap,Pipe,,,Blue,Not for sale,
Visitor216,Purple,Mariniere,Tired,Visitor,Round Glasses,Chef's Hat,Bubble Gum,,,Red,Buy,0.3 
Visitor217,Blue,,Tired,Stoned,,,,Frill,,Red,Buy,5.1 
Visitor218,Orange,Tie Dye,Angry,White,,Do Rag,Bubble Gum,Pearl Necklace,Silver Septum Piercing,Blue,Not for sale,
Visitor219,Pink,,Confident,Visitor,,,Fangs,Lei,Gold Lip Ring,Red,Buy,0.9 
Visitor220,Pink,Bath Robe,Tired,Stoned,,,,,,Cyberpunk,Buy,0.72 
Visitor221,Red,Alien,Confident,Navy,Round Glasses,Mortarboard,Pipe,,Gold Nose Stud,Cyberpunk,Not for sale,
Visitor222,Green,Alien,Confident,Golden,,Do Rag,,,,Red,Buy,0.222 
Visitor223,Blue,Suit,Surprised,Navy,Thug Life,Ushanka,,,Silver Lip Ring,Trippy,Buy,2.5 
Visitor224,Blue,Bulletproof Vest,Confident,Lime,Laser Eyes Yellow,Backwards Cap,ToothPick,,Gold Nose Stud,Red,Not for sale,
Visitor225,Blue,Alien,Surprised,Stoned,3D Glasses,Punk Spikes,Bubble Gum,,,Green,Not for sale,
Visitor226,Yellow,Leather Jacket,Confident,Twirl,Eyepatch,Ethereum,,,,Cyberpunk,Not for sale,
Visitor227,Purple,Red T-shirt,Surprised,Navy,Ray Bans,Balaclava,,,,Joker,Not for sale,
Visitor228,Purple,,Delusional,White,,Balaclava,,Neck Pillow,,Green,Not for sale,
Visitor229,Yellow,Black T-shirt,Confident,White,,,Face Mask,Lei,,Silver,Not for sale,
Visitor230,Pink,Black Tank Top,Confident,Twirl,,Balaclava,,Lei,,Red,Not for sale,
Visitor231,Blue,Varsity,Confident,Silver,,VOID Meditation Device,Bandit Mask,,,Green,Not for sale,
Visitor232,Blue,Hoodie With Jacket,Tired,Lime,,Skullcap,Gagged,,,Green,Not for sale,
